Interacting Pair,First CM,Second CM,Mean Reduction,Standard Deviation,Interaction Seen
"[4, 9]",Curfew,Public Indoor Gathering Person Limit - 2,0.15938,0.02397,True
"[2, 3]",Leisure Venues Closed,Retail Closed,0.01934,0.02139,False
"[1, 8]",Gastronomy Closed,Public Indoor Gathering Person Limit - 1,0.08077,0.01416,True
"[1, 11]",Gastronomy Closed,Public Indoor Gathering Person Limit - 30,0.01351,0.02285,False
"[5, 13]",Primary Schools Closed,Private Indoor Gathering Person Limit - 1,-0.13336,0.02097,True
"[11, 16]",Public Indoor Gathering Person Limit - 30,Private Indoor Gathering Person Limit - 30,0.31825,0.01543,True
"[8, 9]",Public Indoor Gathering Person Limit - 1,Public Indoor Gathering Person Limit - 2,-0.13852,0.08996,True
"[3, 14]",Retail Closed,Private Indoor Gathering Person Limit - 2,0.31506,0.01456,True
"[13, 14]",Private Indoor Gathering Person Limit - 1,Private Indoor Gathering Person Limit - 2,0.0037,0.03001,False
"[7, 11]",Universities Away,Public Indoor Gathering Person Limit - 30,-0.22404,0.00928,True
"[4, 11]",Curfew,Public Indoor Gathering Person Limit - 30,0.16992,0.04269,True
"[11, 13]",Public Indoor Gathering Person Limit - 30,Private Indoor Gathering Person Limit - 1,0.00603,0.02907,False
"[4, 7]",Curfew,Universities Away,0.00161,0.03777,False
"[9, 17]",Public Indoor Gathering Person Limit - 2,Extra Private Indoor Household Limit,0.3343,0.01556,True
"[4, 17]",Curfew,Extra Private Indoor Household Limit,0.19729,0.02454,True
"[0, 12]",Some Face-to-Face Businesses Closed,Extra Public Indoor Household Limit,0.01638,0.02588,False
"[7, 17]",Universities Away,Extra Private Indoor Household Limit,-0.25746,0.0162,True
"[8, 14]",Public Indoor Gathering Person Limit - 1,Private Indoor Gathering Person Limit - 2,0.47094,0.01351,True
"[9, 10]",Public Indoor Gathering Person Limit - 2,Public Indoor Gathering Person Limit - 10,0.10881,0.05996,True
"[14, 18]",Private Indoor Gathering Person Limit - 2,Mandatory Mask Wearing >= 3,0.04044,0.02231,True
"[6, 16]",Secondary Schools Closed,Private Indoor Gathering Person Limit - 30,0.08192,0.0137,True
"[8, 12]",Public Indoor Gathering Person Limit - 1,Extra Public Indoor Household Limit,-0.35922,0.22091,True
"[13, 16]",Private Indoor Gathering Person Limit - 1,Private Indoor Gathering Person Limit - 30,0.07736,0.05641,True
"[11, 15]",Public Indoor Gathering Person Limit - 30,Private Indoor Gathering Person Limit - 10,0.26497,0.01424,True
"[7, 14]",Universities Away,Private Indoor Gathering Person Limit - 2,-0.29494,0.01641,True
"[6, 9]",Secondary Schools Closed,Public Indoor Gathering Person Limit - 2,-0.12824,0.01939,True
"[2, 17]",Leisure Venues Closed,Extra Private Indoor Household Limit,0.07893,0.01957,True
"[6, 8]",Secondary Schools Closed,Public Indoor Gathering Person Limit - 1,-0.13275,0.02146,True
"[11, 12]",Public Indoor Gathering Person Limit - 30,Extra Public Indoor Household Limit,-0.07491,0.05325,True
"[0, 7]",Some Face-to-Face Businesses Closed,Universities Away,-0.20432,0.01574,True
"[5, 11]",Primary Schools Closed,Public Indoor Gathering Person Limit - 30,0.0217,0.01266,True
"[3, 8]",Retail Closed,Public Indoor Gathering Person Limit - 1,0.15082,0.01724,True
"[0, 18]",Some Face-to-Face Businesses Closed,Mandatory Mask Wearing >= 3,-0.03594,0.01371,True
"[8, 13]",Public Indoor Gathering Person Limit - 1,Private Indoor Gathering Person Limit - 1,0.42085,0.02221,True
"[0, 13]",Some Face-to-Face Businesses Closed,Private Indoor Gathering Person Limit - 1,-0.01729,0.03747,False
"[12, 14]",Extra Public Indoor Household Limit,Private Indoor Gathering Person Limit - 2,0.02101,0.03034,False
"[6, 10]",Secondary Schools Closed,Public Indoor Gathering Person Limit - 10,-0.01984,0.01584,True
"[15, 18]",Private Indoor Gathering Person Limit - 10,Mandatory Mask Wearing >= 3,0.1881,0.02287,True
"[7, 8]",Universities Away,Public Indoor Gathering Person Limit - 1,-0.30744,0.01806,True
"[12, 18]",Extra Public Indoor Household Limit,Mandatory Mask Wearing >= 3,-0.35119,0.02522,True
"[8, 10]",Public Indoor Gathering Person Limit - 1,Public Indoor Gathering Person Limit - 10,-0.11661,0.08504,True
"[0, 5]",Some Face-to-Face Businesses Closed,Primary Schools Closed,0.19019,0.01353,True
"[2, 6]",Leisure Venues Closed,Secondary Schools Closed,-0.37169,0.01732,True
"[4, 6]",Curfew,Secondary Schools Closed,0.29344,0.0203,True
"[15, 16]",Private Indoor Gathering Person Limit - 10,Private Indoor Gathering Person Limit - 30,0.05554,0.04901,True
"[4, 18]",Curfew,Mandatory Mask Wearing >= 3,-0.0152,0.02563,False
"[0, 15]",Some Face-to-Face Businesses Closed,Private Indoor Gathering Person Limit - 10,0.02673,0.03554,False
"[16, 18]",Private Indoor Gathering Person Limit - 30,Mandatory Mask Wearing >= 3,0.04999,0.02174,True
"[7, 15]",Universities Away,Private Indoor Gathering Person Limit - 10,-0.18899,0.01028,True
"[0, 2]",Some Face-to-Face Businesses Closed,Leisure Venues Closed,-0.11805,0.08441,True
"[1, 15]",Gastronomy Closed,Private Indoor Gathering Person Limit - 10,0.10016,0.03419,True
"[2, 16]",Leisure Venues Closed,Private Indoor Gathering Person Limit - 30,0.02766,0.02986,False
"[2, 10]",Leisure Venues Closed,Public Indoor Gathering Person Limit - 10,0.33696,0.01964,True
